P1000	0	record held
P101	1	field of work
P102	2	member of political party
P1026	3	academic thesis
P1027	4	conferred by
P103	5	native language
P1035	6	honorific suffix
P1037	7	director / manager
P1038	8	relative
P1039	9	kinship to subject
P1049	10	worshipped by
P1050	11	medical condition
P1056	12	product or material produced
P106	13	occupation
P1066	14	student of
P1074	15	fictional analog of
P108	16	employer
P1080	17	from narrative universe
P110	18	illustrator
P112	19	founded by
P1142	20	political ideology
P115	21	home venue
P118	22	league
P119	23	place of burial
P1196	24	manner of death
P121	25	item operated
P123	26	publisher
P1264	27	valid in period
P1268	28	represents
P1269	29	facet of
P127	30	owned by
P1283	31	filmography
P1290	32	godparent
P1299	33	depicted by
P1303	34	instrument
P131	35	located in the administrative territorial entity
P1321	36	place of origin (Switzerland)
P1327	37	partner in business or sport
P1340	38	eye color
P1343	39	described by source
P1344	40	participant in
P1346	41	winner
P1347	42	military casualty classification
P135	43	movement
P136	44	genre
P1365	45	replaces
P1366	46	replaced by
P137	47	operator
P138	48	named after
P1387	49	political alignment
P1399	50	convicted of
P140	51	religion
P1408	52	licensed to broadcast to
P1411	53	nominated for
P1412	54	languages spoken, written or signed
P1416	55	affiliation
P1424	56	topic's main template
P1427	57	start point
P1429	58	has pet
P1431	59	executive producer
P1433	60	published in
P144	61	based on
P1441	62	present in work
P1444	63	destination point
P1454	64	legal form
P1455	65	list of works
P149	66	architectural style
P1532	67	country for sport
P1537	68	contributing factor of
P1542	69	has effect
P155	70	follows
P1552	71	has quality
P156	72	followed by
P157	73	killed by
P1576	74	lifestyle
P159	75	headquarters location
P1595	76	charge
P1596	77	penalty
P1598	78	consecrator
P161	79	cast member
P162	80	producer
P1640	81	curator
P166	82	award received
P1677	83	index case of
P169	84	chief executive officer
P17	85	country
P170	86	creator
P1706	87	together with
P172	88	ethnic group
P1731	89	Fach
P175	90	performer
P176	91	manufacturer
P178	92	developer
P179	93	part of the series
P180	94	depicts
P1830	95	owner of
P184	96	doctoral advisor
P1840	97	investigated by
P185	98	doctoral student
P186	99	made from material
P1875	100	represented by
P1884	101	hair color
P1889	102	different from
P189	103	location of discovery
P1891	104	signatory
P1897	105	highest note
P1898	106	lowest note
P19	107	place of birth
P1923	108	participating team
P194	109	legislative body
P195	110	collection
P1950	111	second family name in Spanish name
P1995	112	health specialty
P20	113	place of death
P2012	114	cuisine
