,dataset_name,relation_P_ID,relation_label,tail_entity_Q_ID,tail_entity_label,count
0,HumanWikidata5M,P103,native language,Q150,NA,10630
1,HumanWikidata5M,P103,native language,Q7737,NA,2094
2,HumanWikidata5M,P103,native language,Q188,NA,1611
3,HumanWikidata5M,P103,native language,Q7411,NA,1078
4,HumanWikidata5M,P103,native language,Q1860,NA,986
5,HumanWikidata5M,P103,native language,Q1321,NA,427
6,HumanWikidata5M,P103,native language,Q5287,NA,368
7,HumanWikidata5M,P103,native language,Q8097,NA,352
8,HumanWikidata5M,P103,native language,Q9176,NA,218
9,HumanWikidata5M,P103,native language,Q33810,NA,193
10,HumanWikidata5M,P103,native language,Q9610,NA,128
11,HumanWikidata5M,P103,native language,Q36236,NA,120
12,HumanWikidata5M,P103,native language,Q652,NA,117
13,HumanWikidata5M,P103,native language,Q809,NA,87
14,HumanWikidata5M,P103,native language,Q9027,NA,81
15,HumanWikidata5M,P103,native language,Q387066,NA,71
16,HumanWikidata5M,P103,native language,Q9129,NA,71
17,HumanWikidata5M,P103,native language,Q9056,NA,66
18,HumanWikidata5M,P103,native language,Q7850,NA,61
19,HumanWikidata5M,P103,native language,Q5146,NA,56
20,HumanWikidata5M,P103,native language,Q9299,NA,54
21,HumanWikidata5M,P103,native language,Q9035,NA,40
22,HumanWikidata5M,P103,native language,Q9067,NA,40
23,HumanWikidata5M,P103,native language,Q7976,NA,40
24,HumanWikidata5M,P103,native language,Q1568,NA,38
25,HumanWikidata5M,P103,native language,Q8752,NA,37
26,HumanWikidata5M,P103,native language,Q7026,NA,37
27,HumanWikidata5M,P103,native language,Q13955,NA,34
28,HumanWikidata5M,P103,native language,Q9288,NA,31
29,HumanWikidata5M,P103,native language,Q1412,NA,30
30,HumanWikidata5M,P103,native language,Q256,NA,24
31,HumanWikidata5M,P103,native language,Q9063,NA,23
32,HumanWikidata5M,P103,native language,Q9078,NA,20
33,HumanWikidata5M,P103,native language,Q8641,NA,20
34,HumanWikidata5M,P103,native language,Q9309,NA,19
35,HumanWikidata5M,P103,native language,Q9043,NA,18
36,HumanWikidata5M,P103,native language,Q7979,NA,16
37,HumanWikidata5M,P103,native language,Q7918,NA,14
38,HumanWikidata5M,P103,native language,Q6654,NA,14
39,HumanWikidata5M,P103,native language,Q1571,NA,14
40,HumanWikidata5M,P103,native language,Q5885,NA,14
41,HumanWikidata5M,P103,native language,Q8798,NA,12
42,HumanWikidata5M,P103,native language,Q7913,NA,11
43,HumanWikidata5M,P103,native language,Q397,NA,10
44,HumanWikidata5M,P103,native language,Q9072,NA,10
45,HumanWikidata5M,P103,native language,Q36510,NA,10
46,HumanWikidata5M,P103,native language,Q9186,NA,9
47,HumanWikidata5M,P103,native language,Q14185,NA,9
48,HumanWikidata5M,P103,native language,Q13268,NA,9
49,HumanWikidata5M,P103,native language,Q9091,NA,8
50,HumanWikidata5M,P103,native language,Q35497,NA,8
51,HumanWikidata5M,P103,native language,Q9058,NA,8
52,HumanWikidata5M,P103,native language,Q8108,NA,8
53,HumanWikidata5M,P103,native language,Q9301,NA,7
54,HumanWikidata5M,P103,native language,Q143,NA,7
55,HumanWikidata5M,P103,native language,Q2779185,NA,7
56,HumanWikidata5M,P103,native language,Q9083,NA,7
57,HumanWikidata5M,P103,native language,Q8748,NA,6
58,HumanWikidata5M,P103,native language,Q13263,NA,6
59,HumanWikidata5M,P103,native language,Q5137,NA,6
60,HumanWikidata5M,P103,native language,Q8785,NA,5
61,HumanWikidata5M,P103,native language,Q294,NA,5
62,HumanWikidata5M,P103,native language,Q13199,NA,5
63,HumanWikidata5M,P103,native language,Q9142,NA,5
64,HumanWikidata5M,P103,native language,Q1363055,NA,5
65,HumanWikidata5M,P103,native language,Q750553,NA,5
66,HumanWikidata5M,P103,native language,Q1473289,NA,5
193,HumanWikidata5M,P1050,medical condition,Q12204,NA,917
194,HumanWikidata5M,P1050,medical condition,Q11081,NA,570
195,HumanWikidata5M,P1050,medical condition,Q11085,NA,529
196,HumanWikidata5M,P1050,medical condition,Q131755,NA,325
197,HumanWikidata5M,P1050,medical condition,Q1049655,NA,158
198,HumanWikidata5M,P1050,medical condition,Q12195,NA,144
199,HumanWikidata5M,P1050,medical condition,Q41571,NA,128
200,HumanWikidata5M,P1050,medical condition,Q178275,NA,118
201,HumanWikidata5M,P1050,medical condition,Q501829,NA,102
202,HumanWikidata5M,P1050,medical condition,Q2840,NA,98
203,HumanWikidata5M,P1050,medical condition,Q124407,NA,72
204,HumanWikidata5M,P1050,medical condition,Q210427,NA,65
205,HumanWikidata5M,P1050,medical condition,Q12133,NA,61
206,HumanWikidata5M,P1050,medical condition,Q208166,NA,37
