wikidata_label,P_ID,Wikidatasets_ID,OpenKE_ID,Freebase_ID,sensitive_attribute
field of work,P101,46,212,NA,target property
member of political party,P102,26,23,NA,target property
occupation,P106,6,21,/people/person/profession,target property
employer,P108,40,41,NA,target property
music genre,P136,44,79,NA,target property
nominated for,P1411,41,80,NA,target property
award received,P166,8,32,NA,target property
doctoral student,P185,70,316,NA,target property
position held,P39,10,30,NA,target property
military rank,P410,11,33,NA,target property
nominated by,P4353,343,NA,NA,target property
member of ,P463,13,19,NA,target property
academic degree,P512,82,39,NA,target property
educated at,P69,37,42,NA,target property
