,P_ID,wikidata_label,sensitive_attribute,count_wikidata5m_transductive_test
0,P21,sex or gender,gender,
1,P6553,personal pronoun,gender,
2,P172,ethnic group,ethnicity,5
3,P3833,diaspora,ethnicity,
4,P27,country of citizenship,nationality,299
5,P19,place of birth,nationality,227
6,P103,native language,nationality,3
7,P5389,permanent resident of,nationality,
8,P91,sexual orientation,sexual orientation,
9,P1050,medical condition,disability,
10,P140,religion,religion,10
11,P8929,religion or world view,religion,
12,P569,date of birth,age,
13,P570,date of death,age,
14,P3716,social classification,socioeconomic status,
15,P97,noble title,socioeconomic status,2
16,P1340,eye color,physical appearance,
17,P8852,facial hair,physical appearance,
18,P8839,hair style,physical appearance,
